Date,Close,Volume,Open,High,Low,Company,day,month,year,quarter
9/7/2022,128.6,5340100,127.47,129.78,126.37,Qualcomm Incorporated,7,9,2022,3
9/6/2022,126.67,6674208,128.84,129.52,126.21,Qualcomm Incorporated,6,9,2022,3
9/2/2022,128.48,6121409,131.64,132.67,127.56,Qualcomm Incorporated,2,9,2022,3
9/1/2022,129.92,8716270,129.98,130.13,126.0833,Qualcomm Incorporated,1,9,2022,3
8/31/2022,132.27,8701117,133.79,134.17,131.3,Qualcomm Incorporated,31,8,2022,3
8/30/2022,134.41,6147355,137.8,138.3,132.94,Qualcomm Incorporated,30,8,2022,3
8/29/2022,137.08,6852263,137.81,139.13,136.11,Qualcomm Incorporated,29,8,2022,3
8/26/2022,138.38,7918641,146.16,147.36,138.05,Qualcomm Incorporated,26,8,2022,3
8/25/2022,146.25,5618848,142.34,147,142.02,Qualcomm Incorporated,25,8,2022,3
8/24/2022,141.31,5113128,140.25,141.71,138.61,Qualcomm Incorporated,24,8,2022,3
8/23/2022,140.72,4499332,142.09,143.61,140.56,Qualcomm Incorporated,23,8,2022,3
8/22/2022,141.61,6736816,145.3,145.8106,141.1,Qualcomm Incorporated,22,8,2022,3
8/19/2022,147.6,5400320,149.29,150.38,146.9,Qualcomm Incorporated,19,8,2022,3
8/18/2022,151.38,7808233,148.07,152.91,147.76,Qualcomm Incorporated,18,8,2022,3
8/17/2022,148.53,5169594,148.23,149.63,146.36,Qualcomm Incorporated,17,8,2022,3
8/16/2022,150.03,5270822,151.45,152.49,148.85,Qualcomm Incorporated,16,8,2022,3
8/15/2022,152.13,4502857,150.32,152.7,148.395,Qualcomm Incorporated,15,8,2022,3
8/12/2022,151.29,4967492,148,151.47,147.18,Qualcomm Incorporated,12,8,2022,3
8/11/2022,147.83,6243214,148.31,151.64,147.02,Qualcomm Incorporated,11,8,2022,3
8/10/2022,146.99,6839997,145.85,147.18,143.69,Qualcomm Incorporated,10,8,2022,3
8/9/2022,142.51,6770803,145.59,146.5,141.31,Qualcomm Incorporated,9,8,2022,3
8/8/2022,147.81,5564307,149.81,151.19,146.55,Qualcomm Incorporated,8,8,2022,3
8/5/2022,150.21,5041315,148.57,151.2834,147.67,Qualcomm Incorporated,5,8,2022,3
8/4/2022,151.01,6254693,148.68,151.16,147.7089,Qualcomm Incorporated,4,8,2022,3
8/3/2022,149.16,6890200,147.66,150.335,146.59,Qualcomm Incorporated,3,8,2022,3
8/2/2022,147.03,5946415,145.69,149.4,144.84,Qualcomm Incorporated,2,8,2022,3
8/1/2022,147.43,7611417,144.31,149.46,144.07,Qualcomm Incorporated,1,8,2022,3
7/29/2022,145.06,11749400,144.595,145.31,140.67,Qualcomm Incorporated,29,7,2022,3
7/28/2022,146.45,17050980,149.78,149.99,143,Qualcomm Incorporated,28,7,2022,3
7/27/2022,153.42,12863030,151.525,154.8,150.55,Qualcomm Incorporated,27,7,2022,3
7/26/2022,149.97,5941787,152.62,152.7,149.81,Qualcomm Incorporated,26,7,2022,3
7/25/2022,153.25,4928925,152.8,154.04,151.671,Qualcomm Incorporated,25,7,2022,3
7/22/2022,153.7,7200136,155.66,156.66,152.35,Qualcomm Incorporated,22,7,2022,3
7/21/2022,155.86,8060419,152.88,155.92,150.63,Qualcomm Incorporated,21,7,2022,3
7/20/2022,151.71,8517374,147.43,152.33,146.62,Qualcomm Incorporated,20,7,2022,3
7/19/2022,147.37,9686500,144.14,148.47,143.175,Qualcomm Incorporated,19,7,2022,3
7/18/2022,141.69,7856599,145.97,146.43,140.82,Qualcomm Incorporated,18,7,2022,3
7/15/2022,144.37,11880450,143.76,145.48,142.03,Qualcomm Incorporated,15,7,2022,3
7/14/2022,141.9,10718680,134.94,142.35,133.85,Qualcomm Incorporated,14,7,2022,3
7/13/2022,135.64,7200225,130.55,136.78,130.52,Qualcomm Incorporated,13,7,2022,3
7/12/2022,132.95,5991262,133.74,135.35,131.96,Qualcomm Incorporated,12,7,2022,3
7/11/2022,132.24,5898175,133.59,134.595,131.32,Qualcomm Incorporated,11,7,2022,3
7/8/2022,136.01,8393153,132.52,136.39,131.62,Qualcomm Incorporated,8,7,2022,3
7/7/2022,134.4,9408097,130.65,134.71,130.26,Qualcomm Incorporated,7,7,2022,3
7/6/2022,127.06,6038378,126.06,128.23,125.055,Qualcomm Incorporated,6,7,2022,3
7/5/2022,125.83,8115934,121.1,126.17,120.36,Qualcomm Incorporated,5,7,2022,3
7/1/2022,123.53,7672790,125.75,126.76,122.1,Qualcomm Incorporated,1,7,2022,3
6/30/2022,127.74,9277889,127.61,130.09,125.325,Qualcomm Incorporated,30,6,2022,2
6/29/2022,130.23,9973261,130.08,131.57,126.895,Qualcomm Incorporated,29,6,2022,2
6/28/2022,131.6,27113340,129.78,136.45,126.6,Qualcomm Incorporated,28,6,2022,2
6/27/2022,127.18,9947329,126.2,130.04,125.44,Qualcomm Incorporated,27,6,2022,2
6/24/2022,125.1,8127978,122.38,125.37,121.76,Qualcomm Incorporated,24,6,2022,2
6/23/2022,120.09,7908863,122.75,122.93,118.225,Qualcomm Incorporated,23,6,2022,2
6/22/2022,122.16,9085270,121.8,123.6591,120.36,Qualcomm Incorporated,22,6,2022,2
6/21/2022,124.39,9208493,123.77,126.1199,123.72,Qualcomm Incorporated,21,6,2022,2
6/17/2022,120.99,17273380,121.42,122.8292,118.36,Qualcomm Incorporated,17,6,2022,2
6/16/2022,120.82,16422780,126.26,126.65,119.025,Qualcomm Incorporated,16,6,2022,2
6/15/2022,131.03,7859981,131.67,133.28,128.21,Qualcomm Incorporated,15,6,2022,2
6/14/2022,130.26,6794716,130.21,131.93,128.82,Qualcomm Incorporated,14,6,2022,2
6/13/2022,128.66,12320870,130.59,131.35,126.6,Qualcomm Incorporated,13,6,2022,2
6/10/2022,133.2,8549763,134.75,136.06,132.42,Qualcomm Incorporated,10,6,2022,2
6/9/2022,136.71,7153218,137.77,140.44,136.69,Qualcomm Incorporated,9,6,2022,2
6/8/2022,138.96,6772968,140.746,141.761,137.45,Qualcomm Incorporated,8,6,2022,2
6/7/2022,141.89,6062812,139.13,142.15,138.49,Qualcomm Incorporated,7,6,2022,2
6/6/2022,140.44,7238659,144.95,144.97,139.92,Qualcomm Incorporated,6,6,2022,2
6/3/2022,141.22,7458863,142.18,143.44,140.61,Qualcomm Incorporated,3,6,2022,2
6/2/2022,146.2,9589501,140.26,146.25,139.7,Qualcomm Incorporated,2,6,2022,2
6/1/2022,140.02,8514309,142.55,143.91,138.17,Qualcomm Incorporated,1,6,2022,2
5/31/2022,143.22,16007250,139.5,143.965,137.44,Qualcomm Incorporated,31,5,2022,2
5/27/2022,139.76,9180812,136.1,140.135,136.1,Qualcomm Incorporated,27,5,2022,2
5/26/2022,134.84,7932769,130.01,136,129.86,Qualcomm Incorporated,26,5,2022,2
5/25/2022,131.23,9766000,127.8,132.07,127.25,Qualcomm Incorporated,25,5,2022,2
5/24/2022,128.53,9157088,130.34,130.34,126.05,Qualcomm Incorporated,24,5,2022,2
5/23/2022,132.12,10023360,129.95,132.43,128.15,Qualcomm Incorporated,23,5,2022,2
5/20/2022,131.6,11370120,132.88,133.29,125.86,Qualcomm Incorporated,20,5,2022,2
5/19/2022,130.57,8419507,130.45,133.39,129.48,Qualcomm Incorporated,19,5,2022,2
5/18/2022,130.45,11992680,136.83,137.28,129.88,Qualcomm Incorporated,18,5,2022,2
5/17/2022,139.69,9094149,137.252,140,136.7,Qualcomm Incorporated,17,5,2022,2
5/16/2022,133.91,6378822,133.98,135.98,132,Qualcomm Incorporated,16,5,2022,2
5/13/2022,134.93,9280687,134.29,135.99,132.5,Qualcomm Incorporated,13,5,2022,2
5/12/2022,131.77,10749850,131,133.06,127.82,Qualcomm Incorporated,12,5,2022,2
5/11/2022,132.3,11530860,135.03,138.29,131.89,Qualcomm Incorporated,11,5,2022,2
5/10/2022,136.81,8841215,139.5,139.8,134.63,Qualcomm Incorporated,10,5,2022,2
5/9/2022,134.92,11668080,137.99,140.11,134.06,Qualcomm Incorporated,9,5,2022,2
5/6/2022,140.58,10080570,141.248,144.1,137.88,Qualcomm Incorporated,6,5,2022,2
5/5/2022,141.64,14561420,146.98,146.98,139.1801,Qualcomm Incorporated,5,5,2022,2
5/4/2022,149.05,11038100,144.58,149.5,140.35,Qualcomm Incorporated,4,5,2022,2
5/3/2022,144.26,7556824,144.705,145.685,142.76,Qualcomm Incorporated,3,5,2022,2
5/2/2022,145.27,13320930,140.6,145.66,139.1584,Qualcomm Incorporated,2,5,2022,2
4/29/2022,139.69,13693080,145.81,147.5,139.52,Qualcomm Incorporated,29,4,2022,2
4/28/2022,148.19,31111070,142.87,151.2,139.13,Qualcomm Incorporated,28,4,2022,2
